owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
B A RHOADS INVESTMENTS LLC,31,3365500.0,2143 SUTTER PKWY,PO BOX 10069,llc,True,True,False,False,institutional,True,"['1011 E MCCLELLAND AV', '486 E MORRILL AV', '334 WELCH AV', '1338 E FIFTEENTH AV', '1310 MINNESOTA AV']",0.9354838709677419,80,tier_1,"LLC entity (high investor probability); Institutional investor (31 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
C&M INVESTMENTS OHIO LLC,31,4132500.0,2590 SUMMIT STREET,13920 TAYLOR RD SW,llc,True,True,False,False,institutional,True,"['2590 SUMMIT ST', '2058 HOLT AV', '283 S TERRACE AV', '1103 WHITTIER ST', '286 TAYLOR AV']",0.967741935483871,80,tier_1,"LLC entity (high investor probability); Institutional investor (31 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
C&W INVESTMENT CO 2 LLC,30,9637900.0,"1020 DENNISON AVE, SUITE 102",1086 N 4TH ST STE 109,corporation,True,True,False,True,institutional,True,"['2100 N FOURTH ST', '65 69 W THIRD AV', '1210 1212 DENNISON AV', '762 764 PARK ST', '96 98 PRICE AV']",0.9333333333333333,81,tier_1,"Corporation (likely investor); Institutional investor (30 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
MILO-GROGAN HOMES LLC,29,5310000.0,3443 AGLER RD,370 S 5TH ST SUITE 2,llc,True,True,False,False,institutional,True,"['862 LEONA AV', '1165 PETERS AV', '0 PETERS AV', '836 E FOURTH AV', '806 808 E THIRD AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (29 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
SUMMERFIELD HOMES LLC,29,8874500.0,671 S HIGH ST # 6,2001 ROSS AVENUE STE 1900,llc,True,True,False,False,institutional,True,"['1377 MADISON AV', '40 42 LINWOOD AV', '474 478 TWENTY SECOND ST', '52 60 LINWOOD AV', '937 939 E LONG ST']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (29 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
TMDW PROPERTIES LLC,28,2898600.0,2163 S PARK AVE,PO BOX 9202,llc,True,True,False,False,institutional,True,"['239 N OAKLEY AV', '479 S OGDEN AV', '1022 E SIXTEENTH AV', '254 S OGDEN AV', '406 S HARRIS AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (28 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ROBERT SS PROPERTIES LLC,26,2771500.0,815 N HIGH ST STE R,815 N HIGH STREET STE R,llc,True,True,False,False,institutional,True,"['0 E MAIN ST', '0 E MAIN ST', '295 315 S SEVENTEENTH ST', '455 467 EASTMOOR BL', '30 S KELLNER RD']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (26 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ALPETT PROPERTIES LLC,26,3405800.0,4991 MENGEL LN,2209 SANDOVER RD,llc,True,True,False,False,institutional,True,"['0 W WELCH AV', '39 W WELCH AV', '45 W WELCH AV', '2655 2657 ADAMS AV', '1525 S HIGH ST']",0.8461538461538461,80,tier_1,"LLC entity (high investor probability); Institutional investor (26 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
SPRUCE BOUGH HOMES LLC,26,4491300.0,671 S HIGH ST STE 600,910 E BROAD ST,llc,True,True,False,True,institutional,True,"['408 416 CHITTENDEN AV', '701 705 S CHAMPION AV', '64 70 E THIRD AV', '714 720 S OHIO AV', '387 389 CHITTENDEN AV']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (26 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
OHIO CAPITAL DEVELOPMENTS LLC,25,181600.0,148 N HIGH ST,PO BOX 30929,llc,True,True,False,False,institutional,True,"['0 E ARMUTH AV', '0 E ARMUTH AV', '0 E ARMUTH AV', '0 E ARMUTH AV', '0 CARROLL RD']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (25 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
KAP PROPERTIES LLC,24,2907500.0,P.O. BOX 316,901 CORPORATE CENTER DR,llc,True,True,True,False,large,True,"['274 MILLER AV', '1021 STEWART AV', '2783 N HIAWATHA ST', '0 TWENTY FOURTH AV', '1607 E CORDELL AV']",1.0,83,tier_1,"LLC entity (high investor probability); Large portfolio (24 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
WHITE PICKET PROPERTIES LLC,23,3993200.0,18117 BISCAYNE BLVD UNIT 2605,8805 GOVERNORS HILL DR,llc,True,True,False,True,large,True,"['1441 BURNLEY CT', '2770 DENMARK RD', '6413 FAIRCREST RD', '1290 E KNOLLWOOD DR', '1921 JUDWICK DR']",1.0,81,tier_1,"LLC entity (high investor probability); Large portfolio (23 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ONE 91 HOLDINGS LLC,21,344200.0,850 TWIN RIVERS DR PO BOX 2018,PO BOX 2018,llc,True,True,True,False,large,True,"['0 HOLTON AV', '78 RODGERS AV', '164 N YALE AV', '37 39 BREHL AV', '189 N GUILFORD AV']",0.9523809523809523,83,tier_1,"LLC entity (high investor probability); Large portfolio (21 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
FLEX GROUP LLC,20,2256900.0,850 TWIN RIVERS DR PO BOX 2018,901 CORPORATE CENTER DR,llc,True,True,True,False,large,True,"['730 BELLOWS AV', '1005 OLMSTEAD AV', '245 CLARENDON AV', '816 N ST CLAIR AV', '385 OAKLEY AV']",1.0,83,tier_1,"LLC entity (high investor probability); Large portfolio (20 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
AVONDALE HOMES LLC,19,1536100.0,850 TWIN RIVERS DR PO BOX 2018,PO BOX 2018,llc,True,True,True,False,large,True,"['1047 SULLIVANT AV', '1139 WALTERS ST', '812 E GIBBARD AV', '416 S YALE AV', 'PRINCETON AV']",1.0,83,tier_1,"LLC entity (high investor probability); Large portfolio (19 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
PIERCE CAPITAL LLC,19,1751400.0,PO BOX 50,901 CORPORATE CENTER DR,llc,True,True,True,False,large,True,"['1268 1270 E SEVENTEENTH AV', '1347 1349 E EIGHTEENTH AV', '1073 FOURTEENTH AV', '1677 MANCHESTER AV', '1282 ABERDEEN AV']",1.0,83,tier_1,"LLC entity (high investor probability); Large portfolio (19 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
YALE HOMES LLC,17,1924800.0,850 TWIN RIVERS DR PO BOX 2018,PO BOX 2018,llc,True,True,True,False,large,True,"['89 N YALE AV', '940 942 LEONA AV', '34 S PRINCETON AV', '112 S CYPRESS AV', '445 447 S YALE AV']",1.0,83,tier_1,"LLC entity (high investor probability); Large portfolio (17 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
